#generation,max_fitness, avg_fitness, min_fitness, best A, best B, best C, best D, best_individual_gtype
----------------------------------------------
#   parents  xsite  gtype       A   B   C   D  fitness
0   (  0,  0)   0  [0100010110011011010101110011000011100110] -0.547  -4.258  -2.676  -6.348  +4973.333
1   (  0,  0)   0  [0111011101001111100100010111000001010100] -2.949  -6.602  -7.969  -7.988  +2100.000
2   (  0,  0)   0  [0010011101011101001011011111000010000111] -5.449  -3.066  +1.699  -5.117  +1793.333
3   (  0,  0)   0  [0111000100001111100001111010110001010011] -2.656  -6.582  -3.496  -8.086  +1500.000
4   (  0,  0)   0  [1101001111000001011111110011100101011110] +2.285  -9.492  +2.715  -2.109  +1480.000
5   (  0,  0)   0  [1110111000011100000001010110010000100000] +4.062  -2.520  -2.168  -8.770  +1346.667
6   (  0,  0)   0  [0011001111001001111010111001110011111011] -7.305  -5.410  +6.348  -6.621  +1166.667
7   (  0,  0)   0  [0011101000001101011001101110010110111010] -6.562  -6.973  -4.102  -4.141  +1086.667
8   (  0,  0)   0  [0001110001000100101101111011100000010011] -8.164  -7.773  -3.535  -9.434  +1026.667
9   (  0,  0)   0  [1111010111000001010010101111000001100110] +3.008  -9.531  +5.781  -8.672  +920.000
10  (  0,  0)   0  [0010011101010010001100101011110101011001] -5.449  -1.211  -6.055  -2.168  +853.333
11  (  0,  0)   0  [0011011110011110010110011010111011111101] -7.109  -3.633  +8.477  +6.680  +840.000
12  (  0,  0)   0  [0110101110101100011101110111101000010001] -3.984  +7.383  -2.910  +9.395  +813.333
13  (  0,  0)   0  [1000000000110001110100001110101001010001] +9.980  +0.430  -9.141  +8.086  +813.333
14  (  0,  0)   0  [0100011000010010101000110001011100100110] -0.332  -1.016  -7.383  +1.152  +813.333
15  (  0,  0)   0  [0001110100100000110011011110111110101010] -8.281  +9.824  +1.602  +3.984  +800.000
16  (  0,  0)   0  [1101001000010100010001000111110111100001] +2.188  -2.363  -0.430  -3.730  +746.667
17  (  0,  0)   0  [0000111101000010001000111101000000100101] -9.199  -8.828  -6.738  -8.887  +733.333
18  (  0,  0)   0  [1110011101010010001001011000100010110001] +4.551  -1.191  -1.328  -5.664  +706.667
19  (  0,  0)   0  [1110111100000100100000111001010100000000] +4.199  -7.812  -6.387  -0.020  +706.667
20  (  0,  0)   0  [0110000111001100010001001101111110111101] -4.902  -7.363  -0.742  +4.180  +693.333
21  (  0,  0)   0  [0111010111010100000011100000000101101101] -3.027  -2.500  +4.980  -1.445  +693.333
22  (  0,  0)   0  [0101001001011010100000110010001011111000] -2.227  -4.062  -7.207  +6.562  +680.000
23  (  0,  0)   0  [0010010110000101111010100110001110011100] -5.547  -7.910  +5.312  +4.531  +666.667
24  (  0,  0)   0  [1100101000011101101111101000101100001000] +0.938  -2.871  +3.809  +0.293  +666.667
25  (  0,  0)   0  [1011011101000101101100100010110101110011] +7.051  -7.871  -5.273  -1.836  +660.000
26  (  0,  0)   0  [1011000110010110111100101001111100000000] +7.402  -1.465  -6.152  +0.000  +640.000
